subject	relation	object	roles	year_start	year_end	explicit	sources	evidence
A. Dawson	collaborated_with	Edwin Norris				True	Windisch GSP	Norris setzte sich mit dem sachkundigen A. Dawson in Verbindung. Dieser erkannte in dem ihm von Norris vorgelegten Stück der Inschrift das 7. Edikt der Asoka-Inschrift von Girnar.
A. Obolonsky	collaborated_with	Angelo De Gubernatis				True	Winternitz GIL 2	Auch Angelo de Gubernatis und A. Obolonsky (Le Prince Siddhartha, drama en 5 actes et 21 tableaux, Tours 1899) haben das Leben des Buddha dramatisch bearbeitet.
Abraham Hyacinthe Anquetil-Duperron	collaborated_with	Johann III Bernoulli				True	Windisch GSP	Anquetil Duperron, der Bernoulli bei der Herausgabe unterstützte
Abraham Hyacinthe Anquetil-Duperron	collaborated_with	Joseph Tiefenthaler				True	Windisch GSP	Mit Anquetil Duperron, der Bernoulli bei der Herausgabe unterstützte, stand Tieffenthaler in wissenschaftlichem Verkehr.
Adalbert Kuhn	collaborated_with	Albrecht Weber	Sanskritkränzchen	1848	1850	True	Windisch GSP	hatte er in den Jahren 1848-1850 in Berlin ein Sanskritkränzchen zusammen mit Goldstücker und Weber.
Adalbert Kuhn	collaborated_with	August Schleicher	Mitbegründer	1858		True	Windisch GSP	die er 1858 durch die von ihm im Bunde mit Schleicher gegründeten "Beiträge zur Vergleichenden Sprachforschung...
Adalbert Kuhn	collaborated_with	Theodor Aufrecht	Mitherausgeber	1852		True	Windisch GSP	Im Jahre 1852 erschien der erste Band der von Kuhn, anfangs im Verein mit Aufrecht, herausgegebenen "Zeitschrift für Vergleichende Sprachforschung...
Adalbert Kuhn	collaborated_with	Theodor Goldstücker	Sanskritkränzchen	1848	1850	True	Windisch GSP	hatte er in den Jahren 1848-1850 in Berlin ein Sanskritkränzchen zusammen mit Goldstücker und Weber.
Adalbert Kuhn	collaborated_with	Wilhelm Schwartz	Schwager			True	Windisch GSP	Auf diesem Gebiete arbeitete er zusammen mit seinem Schwager Schwartz.
Adolf Friedrich Stenzler	collaborated_with	August Wilhelm von Schlegel				True	Windisch GSP	Stenzler übernahm es, an Lassens Stelle für Schlegels Ausgabe des Rāmāyaṇa die Londoner Handschriften des III. Buches zu kollationieren
Adolf Kaegi	collaborated_with	Karl Friedrich Geldner		1875	1875	True	Windisch GSP; Winternitz GIL 1	Siebenzig Lieder des Rigveda übersetzt von Karl Geldner und Adolf Kaegi, Tübingen 1875.
Adolf Kirchhoff	collaborated_with	Theodor Aufrecht		1850	1851	True	Windisch GSP	hatte schon im Verein mit Kirchhoff das grundlegende Werk über die umbrischen Sprachdenkmäler herausgegeben (Bonn 1850, 1851)
Albert Hoefer	collaborated_with	Otto von Böhtlingk		1845		True	Windisch GSP	Da bis zum Jahre 1845 noch kein vedischer Hymnus mit den Akzenten versehen gedruckt worden war, wandte sich Böhtlingk für die 19 Hymnen seiner Chrestomathie an Hoefer
Albert Joseph Edmunds	collaborated_with	Masaharu Anesaki	editor		1909	True	Winternitz GIL 2	Buddhist and Christian Gospels now first compared from the Originals by A. J. Edmunds, edited by M. Anesaki, 4th Ed., Philadelphia 1908/9.
Albrecht Weber	collaborated_with	Emil Sieg	compiler of index	1898	1898	True	Windisch GSP	analysierte er es 1898 unter dem Titel "Zu Kṣemendra's lokaprakāśa", in den Ind. Studien XVIII 289—412, mit Index von E. Sieg.
Albrecht Weber	collaborated_with	Ernst Haas				True	Winternitz GIL 1	E. Haas und A. Weber, Die Heiratsgebräuche der alten Inder, nach den Gṛhyasūtra (im fünften Band der »Indischen Studien«)
Albrecht Weber	collaborated_with	Georg Curtius				True	Windisch GSP	und las er Veda mit Weber.
Alexander Cunningham	collaborated_with	James Prinsep				True	Windisch GSP	my coin essays are joint productions, and that I have an auxiliary at my elbow, far better acquainted with the contents of, I may say, all the collections of coins in India
Alexander Cunningham	collaborated_with	William Hodge Mill		1837	1837	True	Windisch GSP	Mill veröffentlichte sie 1837 auf Grund einer Bleistiftzeichnung des Lieut. Cunningham JASB. VI 1 ff.
Alexander Garden Shirreff	collaborated_with	Panna Lall			1918	True	Winternitz GIL 3	Eine englische Übersetzung von G. Shirreff und Panna Lall ist Allahabad 1918 erschienen
Alexander Hamilton	collaborated_with	Louis-Mathieu Langlès	Katalogverfasser	1807	1807	True	Windisch GSP; Winternitz GIL 1	"Catalogue des manuscrits sanskrits de la bibliothèque impériale... Par A. Hamilton et L. Langlès".
Alexander von Staël-Holstein	collaborated_with	Wilhelm Radloff			1910	True	Winternitz GIL 2	Tiśastvustik von W. Radloff und Baron A. von Staël-Holstein, Bibl. Buddhica XII, St. Petersburg 1910
Amédée Hauvette-Besnault	collaborated_with	Paul Roussel		1884	1898	True	Winternitz GIL 1	T. IV u. V publié par M. Hauvette-Besnault et P. Roussel. Paris 1884 et 1898.
Angelo De Gubernatis	collaborated_with	Carlo Giussani	contributor of appendix			True	Windisch GSP	In einer "Appendice" ergänzte Carlo Giussani dieses für italienische Studenten berechnete Handbuch durch eine Grammatik und Lesestücke
Anthony Abraham Fokker	collaborated_with	Willem Caland			1915	True	Windisch GSP	Caland gab sie mit Hilfe von A. A. Fokker in holländischer Übersetzung heraus
Anthony Troyer	collaborated_with	Madhava Ray				True	Windisch GSP	Sie war dem Captain Troyer übergeben worden, der sie trotz der Hilfe seines Pandit Madhava Ray doch nur sehr mangelhaft lesen konnte
Archibald Edward Gough	collaborated_with	Edward Byles Cowell			1894	True	Winternitz GIL 3	Translated by E. B. Cowell and A. E. Gough, 2nd Ed., London 1894.
Archibald Edward Gough	collaborated_with	Govindadeva Śāstrī	joint translation			True	Winternitz GIL 3	Englische Übersetzung des Kommentars Vidvanmanorañjanī von Rāmatīrtha durch A. E. Gough und Govindadeva Śāstrī in Pandit, vols. VI–VIII.
Arthur Anthony Macdonell	collaborated_with	Arthur Berriedale Keith	co-authors	1912	1912	True	Winternitz GIL 3	A. A. Macdonell und A. B. Keith, Vedic Index of Names and Subjects, London 1912
Arthur Berriedale Keith	collaborated_with	Moriz Winternitz			1905	True	Winternitz GIL 1; Winternitz GIL 2; Winternitz GIL 3	M. Winternitz and A. B. Keith, Catalogue of Sanskrit Manuscripts in the Bodleian Library, II, Oxford 1905
Arthur Coke Burnell	collaborated_with	Edward Washburn Hopkins			1884	True	Winternitz GIL 3	Eine neuere Übersetzung ist die von A. C. Burnell und E. W. Hopkins (London 1884)
Arthur Surridge Hunt	collaborated_with	Bernard Pyne Grenfell		1903		True	Windisch GSP	die von Grenfell und Hunt aus den Oxyrrhynchus Papyri 1903 veröffentlichte Farce
Ashwatthama Balacharya Gajendragadkar	collaborated_with	Shripad Damodar Gajendragadkar		1919	1919	True	Winternitz GIL 3	von S. D. und A. B. Gajendragadkar, Poona 1919
August Wilhelm von Schlegel	collaborated_with	Christian Lassen	assistant/collaborator	1829	1831	True	Windisch GSP; Winternitz GIL 3	Dazwischen gab er zusammen mit Lassen den "Hitopadesas id est Institutio salutaris" heraus, den Text 1829, den Commentarius criticus 1831
August Wilhelm von Schlegel	collaborated_with	Franz Bopp				True	Windisch GSP	daß er in Paris oft gemeinschaftlich mit Bopp gearbeitet habe
Bapu Deva Sastri	collaborated_with	Fitzedward Hall		1854	1858	True	Winternitz GIL 3	Herausgegeben von F. E. Hall und Bāpu Deva Śāstrin in Bibl. Ind. 1854—1858
